top_redness,top_norm_redness,bottom_redness,bottom_norm_redness
YDR352W,CAF40,YIL102C,YNR064C
CYB2,YMR173W-A,YDR506C,HIT1
MXR2,GLR1,SAP30,RPS1A
YHR095W,ADI1,STD1,RPL37B
YKL105C,FZF1,RPL1A,SAP4
CDC73,YNR004W,YKL030W,ERV2
HIM1,MEI5,YCR043C,BNA5
MRP21,NST1,ERP6,YPT7
YER181C,BOP2,ARL1,POX1
TAH1,YMR130W,OPT2,RPL16B
GFD2,YDR278C,AAC1,YKR017C
MRPL9,SKM1,PMR1,YBR071W
YOR059C,YPR039W,YLR334C,YGL082W
YPR071W,PAN6,YDR535C,KCC4
JID1,YJL150W,YPL150W,AMD2
SHC1,YFL012W,TMA16,SLG1
SLP1,ERV46,FRE4,FUI1
HRT3,SMK1,TOS3,YOR062C
AIM13,YER135C,CNB1,YML122C
MSS116,PAC1,SRC1,YMR210W
PIL1,NUP53,ECM22,GSH2
YIA6,YOR352W,APM4,NUM1
YKL158W,YIL108W,FUM1,YML096W
YCL047C,PHO86,MYO5,SOK2
ATG18,YPR098C,YER077C,FRE3
MSB3,RPL18B,IRC18,XDJ1
CAT8,CPR1,AKR2,ARK1
ALT2,YPT53,AIM20,SSF2
YOR240W,YMR304C-A,TRM13,OSW5
LYS12,YJL118W,PSO2,YML033W
OCA5,YOR302W,RTT106,HAL1
YLR269C,YNL146W,DCW1,MIG3
CUE2,ADP1,INP1,YBL094C
YNL050C,YDR220C,ARA1,YBR226C
YIL161W,YLR049C,DNF3,YGK3
YLL017W,NMA2,YKR041W,YOR022C
SPC72,MUB1,GAL11,YMD8
YBR056W,YNR042W,PYK2,YPR196W
YOL131W,YLR445W,ASI2,NGL2
ZTA1,GAL2,MDL2,YJR146W
JEN1,YJL206C-A,PDR10,UTH1
PDR15,STB4,YOL163W,CRP1
YJL132W,GIS3,URE2,PIC2
YOL057W,FAR11,AVT1,MMT1
APA1,PYC2,SAP4,ISR1
PMA2,YIP3,YOL036W,UPS3
PMS1,STP3,BOI2,URN1
CHZ1,ATG4,PLP1,YLR072W
YER140W,YOR318C,SET4,RRI1
PAI3,MTH1,CCW12,TMA23
YKL033W-A,YLR278C,YRF1-6,YML053C
EMC6,MTC3,RIM4,AAD3
YLR271W,RPS9A,YNG1,CRH1
IRC7,IVY1,CCS1,APM4
PEX4,AIR1,OCA2,QCR6
YGR182C,YPR012W,ACS1,STL1
YJR061W,YCL006C,SNA2,MUM2
IOC2,YPL264C,TGL1,CWP2
COX12,YLR001C,UGA4,DGK1
RSM24,CYC1,ART10,SNO1
CRT10,UBX6,CWC15,GPM2
YGL235W,MSB4,MCH5,HPC2
YHL044W,SOP4,SDC1,YML081W
YML020W,MUQ1,SLM5,FKH1
TRP3,YPL107W,UBP15,PPR1
YVH1,NGL1,YLR232W,NAT3
KTR5,YLR287C,ITR1,VTC2
CIN2,MPA43,SMF2,YKU70
VCX1,REG2,PLM2,YGR011W
YJR128W,KEL1,SRL3,YBR075W
NNF2,SFG1,GPT2,FLO10
MRP7,YDR491C,YOR022C,YOR240W
YIL166C,SRX1,RIB4,YKU80
YGR250C,MLH2,YOR296W,PSR1
BUD28,YNL057W,YLR407W,RNY1
HAP2,OST5,NUP60,GSM1
VID28,LPX1,AAD3,YPL141C
FYV8,SPO13,KAR9,ORM2
SPO13,ADY2,HIR2,RMT2
HTA1,YGR001C,VAC8,PDB1
SET5,ABZ2,FYV4,YOL035C
FYV5,YSC83,MAD3,PET8
SHU1,AIM19,YNL338W,NSG1
TIM13,YJR061W,RCK2,REV1
YBR074W,THI73,DMA1,SEF1
YLR444C,SAM2,PEX18,TOS2
MSN1,MFT1,GET4,PRR1
YLR400W,PHO89,RDS2,SNA3
SKS1,NDI1,MRP17,TFP1
DAP2,SNF3,THO2,AZR1
YLR050C,UTP30,MBF1,YKR106W
YSP3,NUP2,HIS7,GSC2
MRP20,MEK1,YKL200C,KHA1
YJL182C,HEF3,VPS8,FUM1
REC104,STI1,YLL056C,SPR6
FUN14,YOR268C,YKL215C,YFL063W
NCA3,YDL114W,CYC7,SPG4
HMT1,RRI2,QCR9,NIT1
DCC1,RPL41B,VPS27,BNA6
COQ9,GAS2,NVJ1,CPR7
YNL234W,ZTA1,TPS2,CPT1
ANT1,YIL067C,GIS4,YMR118C
FCY22,COT1,RPS29A,YEL043W
SRL2,RCR2,YOR019W,YML079W
YGL079W,GLO4,CIN4,RGT2
FKH2,ROG3,MEP1,ATO2
YNR073C,MKT1,NSG1,YHR127W
YGL138C,PIG1,YCL056C,YOL160W
PAD1,PLB1,SOV1,YDL176W
BNR1,ARN1,PGC1,REC8
SHM1,CAT2,RPL40A,TRM2
HNT2,BNA4,TRM12,YBR225W
PMT3,YLR063W,YAL018C,YNL157W
MRPS12,YOL085C,MIG3,PKH1
YNL176C,YNL295W,HAP3,YEH1
AIM5,YPR099C,QRI7,MRS2
SUL2,YHR032W,YEL014C,KEL2
HXK1,AHP1,YMR178W,TOM6
ERP2,YBL070C,YAT1,YOL163W
YLL020C,UPC2,ACM1,MIC14
YNL155W,SUR7,MET7,SBE2
CEM1,FMP48,HUR1,UGX2
MRM1,KAP120,MCT1,APL1
ESBP6,FAR10,PPH21,THI12
ALG9,HIS1,CCP1,YBR074W
YAP3,RSF2,YKR017C,YIL167W
YMR221C,TWF1,YBL083C,AIM45
ATF1,YBR090C,VID22,SEM1
ZRG8,AVT6,YGR210C,ATR1
PGM3,YDR391C,RPL6A,FMP45
FPR1,EMC6,YML035C-A,YHL039W
GMH1,OYE3,YCR006C,NUP42
LSB5,ALG9,RMD1,GPA2
HEK2,MIG2,RRT5,YDL162C
ATG23,RIM101,AAH1,YBL028C
CYS3,FIT1,CWP1,TVP38
CTI6,ALD4,YOR238W,FBP26
PTC7,TUL1,PEP4,PHO80
DCS2,ATP18,SNF8,LOT6
YIR042C,YPS5,YET2,PUT3
YMR102C,GTB1,FLX1,FET5
YIR016W,NDL1,YGR025W,YBR292C
YBR277C,DIP5,SUN4,PRO1
STB4,GUT1,DUS1,FUN30
GSF2,ARC1,YCT1,GPX2
POT1,SDT1,POG1,DIG2
YNL089C,ROT2,HOT1,RIT1
LEU4,LYS9,YGR018C,YDR340W
SGM1,PAU7,EHT1,YML131W
PTH2,RBG2,UBX2,YBP1
RRD1,YJL206C,YMR147W,URA7
AYT1,MET6,YOL075C,YOL053C-A
YBR259W,YLR112W,YML058C-A,HYR1
AIM32,MGS1,OAF1,YHR132W-A
YCR007C,GAP1,PDE1,BLM10
PFK27,RNH201,MXR1,THI22
PSK2,TRP2,IRC21,MRC1
BNS1,YGR015C,RPL23B,ZRG17
DNL4,TSA1,APD1,BUD14
YPT52,YPL245W,ATG8,LRG1
SNF5,MEI4,MET12,MMP1
NFI1,FMP33,ADE16,SGM1
YLR445W,YOR093C,YLR194C,PDE1
REV7,DAP2,SLX8,SFA1
YMR291W,YNL320W,YPR092W,MUM3
YAR029W,RAD26,SUR4,LOS1
YNL028W,BNI4,KNH1,COS12
RRG9,CSM1,RGS2,YJL022W
MND2,BIO4,PRO2,VPS60
PBP4,VTH1,RNR3,HST4
HIS1,YOR055W,COS6,LPP1
SAM2,FMP23,EST3,RSB1
TMA10,HUL4,MAK10,YGR011W
YIL055C,PDR1,YGP1,YCR025C
MRPL11,YDL242W,YGL159W,GAS3
SWA2,ERP1,GIP4,SLX1
YIL029C,TOF2,IML3,SCM4
RPL24B,BUD7,HSP150,ALD3
YNL046W,MAD1,YKR106W,YIL152W
YOR072W,YKR070W,RPL7A,IRC24
OGG1,ATX2,RBK1,YSR3
YNL122C,YOR050C,ERD1,PHO13
DOA1,RAS2,GEM1,SOL1
AIM17,FAP1,YGL082W,YAP5
PTK1,TRP1,SPO74,RTC2
YBR287W,YPR071W,YDL211C,IPK1
PLB2,BPT1,YCH1,YMR160W
TRP1,NEJ1,YSP2,STP2
YKR070W,REX3,YIL012W,YGL152C
